epoch,global_step,elapsed_s,loss_total,loss_mask,loss_link,loss_sub,sigma_mask,sigma_link,sigma_sub,alpha,lr,grad_norm,link_auc,sub_r2_clust,sub_r2_tri,eff_rank,visits
54,10800,319.8,-0.885077,0.072700,0.498636,0.210612,0.241884,0.700379,0.381143,0.708843,0.00043733,2.374362,0.895398,0.885507,0.903652,36.8731,"{""cora"": 3, ""citeseer"": 3, ""pubmed"": 19, ""ppi"": 28, ""facebook_ego"": 2, ""twitch_en"": 56, ""coauthor_cs"": 11, ""dblp_snap"": 60, ""power_grid"": 7, ""as733"": 11}"
55,11000,326.1,-1.070572,0.062837,0.491147,0.182661,0.239126,0.695415,0.377410,0.708438,0.00042178,2.177976,0.903673,0.891204,0.911380,39.9319,"{""cora"": 5, ""citeseer"": 8, ""pubmed"": 20, ""ppi"": 22, ""facebook_ego"": 10, ""twitch_en"": 55, ""coauthor_cs"": 11, ""dblp_snap"": 49, ""power_grid"": 9, ""as733"": 11}"
56,11200,331.8,-1.072335,0.061385,0.488706,0.186177,0.235697,0.691538,0.373570,0.708601,0.00040631,2.147193,0.906747,0.895308,0.917009,45.7332,"{""cora"": 9, ""citeseer"": 10, ""pubmed"": 14, ""ppi"": 15, ""facebook_ego"": 7, ""twitch_en"": 52, ""coauthor_cs"": 20, ""dblp_snap"": 55, ""power_grid"": 8, ""as733"": 10}"
57,11400,336.8,-0.904297,0.075249,0.489806,0.196679,0.236909,0.691444,0.372125,0.708668,0.00039093,2.362441,0.905750,0.891304,0.908321,44.5647,"{""cora"": 3, ""citeseer"": 9, ""pubmed"": 16, ""ppi"": 29, ""facebook_ego"": 8, ""twitch_en"": 36, ""coauthor_cs"": 15, ""dblp_snap"": 67, ""power_grid"": 10, ""as733"": 7}"
58,11600,341.7,-1.123897,0.063005,0.488290,0.166082,0.235354,0.692090,0.368142,0.708746,0.00037566,2.256888,0.907358,0.896123,0.917882,43.4298,"{""cora"": 7, ""citeseer"": 10, ""pubmed"": 11, ""ppi"": 22, ""facebook_ego"": 8, ""twitch_en"": 44, ""coauthor_cs"": 12, ""dblp_snap"": 57, ""power_grid"": 15, ""as733"": 14}"
59,11800,346.8,-0.998866,0.071569,0.493474,0.177177,0.235932,0.695249,0.367806,0.709005,0.00036050,2.126095,0.901989,0.891592,0.911057,46.5754,"{""cora"": 10, ""citeseer"": 6, ""pubmed"": 10, ""ppi"": 29, ""facebook_ego"": 7, ""twitch_en"": 43, ""coauthor_cs"": 12, ""dblp_snap"": 64, ""power_grid"": 9, ""as733"": 10}"
60,12000,352.3,-0.837216,0.075020,0.498556,0.211657,0.236779,0.700433,0.371112,0.708804,0.00034549,2.535163,0.896178,0.887931,0.901286,47.0288,"{""cora"": 6, ""citeseer"": 6, ""pubmed"": 11, ""ppi"": 29, ""facebook_ego"": 8, ""twitch_en"": 52, ""coauthor_cs"": 9, ""dblp_snap"": 66, ""power_grid"": 7, ""as733"": 6}"
61,12200,358.8,-0.982387,0.072665,0.494244,0.180134,0.236879,0.699515,0.371816,0.708961,0.00033063,2.211622,0.900858,0.890113,0.911179,38.2858,"{""cora"": 4, ""citeseer"": 8, ""pubmed"": 11, ""ppi"": 29, ""facebook_ego"": 8, ""twitch_en"": 46, ""coauthor_cs"": 13, ""dblp_snap"": 65, ""power_grid"": 6, ""as733"": 10}"
62,12400,364.0,-1.073581,0.060795,0.488748,0.185474,0.235036,0.693088,0.369193,0.709351,0.00031594,2.108667,0.905873,0.893811,0.913807,38.5929,"{""cora"": 5, ""citeseer"": 6, ""pubmed"": 18, ""ppi"": 13, ""facebook_ego"": 7, ""twitch_en"": 42, ""coauthor_cs"": 20, ""dblp_snap"": 75, ""power_grid"": 6, ""as733"": 8}"
63,12600,369.3,-0.834068,0.072757,0.493678,0.219691,0.235225,0.694684,0.370598,0.710126,0.00030143,2.485154,0.901359,0.890235,0.908443,45.4999,"{""cora"": 9, ""citeseer"": 6, ""pubmed"": 13, ""ppi"": 21, ""facebook_ego"": 3, ""twitch_en"": 44, ""coauthor_cs"": 14, ""dblp_snap"": 76, ""power_grid"": 7, ""as733"": 7}"
64,12800,375.5,-0.936948,0.069914,0.493644,0.198849,0.235253,0.694157,0.370272,0.710036,0.00028711,2.528921,0.900524,0.891129,0.912799,45.7849,"{""cora"": 5, ""citeseer"": 5, ""pubmed"": 12, ""ppi"": 25, ""facebook_ego"": 8, ""twitch_en"": 51, ""coauthor_cs"": 12, ""dblp_snap"": 61, ""power_grid"": 12, ""as733"": 9}"
65,13000,381.4,-0.918983,0.074587,0.493826,0.192135,0.235343,0.695479,0.371410,0.709432,0.00027300,2.222361,0.901066,0.890530,0.904067,38.4213,"{""cora"": 9, ""citeseer"": 7, ""pubmed"": 13, ""ppi"": 33, ""facebook_ego"": 5, ""twitch_en"": 51, ""coauthor_cs"": 8, ""dblp_snap"": 55, ""power_grid"": 7, ""as733"": 12}"
66,13200,386.5,-1.039255,0.066938,0.483349,0.180637,0.235215,0.689764,0.368041,0.709686,0.00025912,2.138931,0.912886,0.897393,0.915947,44.6230,"{""cora"": 9, ""citeseer"": 11, ""pubmed"": 16, ""ppi"": 21, ""facebook_ego"": 3, ""twitch_en"": 39, ""coauthor_cs"": 19, ""dblp_snap"": 58, ""power_grid"": 10, ""as733"": 14}"
67,13400,392.2,-1.037804,0.067142,0.491336,0.177953,0.234991,0.692332,0.367865,0.710233,0.00024548,2.027127,0.902659,0.891255,0.909925,45.2662,"{""cora"": 7, ""citeseer"": 5, ""pubmed"": 15, ""ppi"": 24, ""facebook_ego"": 6, ""twitch_en"": 54, ""coauthor_cs"": 19, ""dblp_snap"": 56, ""power_grid"": 5, ""as733"": 9}"
68,13600,398.2,-1.045438,0.064113,0.491059,0.183365,0.233963,0.692588,0.367515,0.710183,0.00023209,2.145447,0.903243,0.892584,0.907627,34.5652,"{""cora"": 9, ""citeseer"": 10, ""pubmed"": 15, ""ppi"": 21, ""facebook_ego"": 7, ""twitch_en"": 55, ""coauthor_cs"": 10, ""dblp_snap"": 57, ""power_grid"": 3, ""as733"": 13}"
69,13800,404.3,-0.883121,0.075307,0.494549,0.198341,0.234103,0.695457,0.367942,0.710344,0.00021896,2.304996,0.900118,0.888453,0.905318,43.4612,"{""cora"": 4, ""citeseer"": 5, ""pubmed"": 16, ""ppi"": 32, ""facebook_ego"": 7, ""twitch_en"": 46, ""coauthor_cs"": 9, ""dblp_snap"": 67, ""power_grid"": 9, ""as733"": 5}"
70,14000,409.7,-0.907370,0.073013,0.493585,0.198118,0.234204,0.695678,0.368796,0.710555,0.00020611,2.388510,0.901712,0.889595,0.911341,47.0381,"{""cora"": 2, ""citeseer"": 3, ""pubmed"": 16, ""ppi"": 28, ""facebook_ego"": 3, ""twitch_en"": 42, ""coauthor_cs"": 14, ""dblp_snap"": 73, ""power_grid"": 8, ""as733"": 11}"
71,14200,416.4,-0.932557,0.065623,0.496162,0.209317,0.233802,0.697665,0.370902,0.710745,0.00019355,2.264502,0.897854,0.891514,0.895963,46.2009,"{""cora"": 4, ""citeseer"": 10, ""pubmed"": 11, ""ppi"": 17, ""facebook_ego"": 2, ""twitch_en"": 54, ""coauthor_cs"": 10, ""dblp_snap"": 75, ""power_grid"": 12, ""as733"": 5}"
72,14400,421.4,-0.973309,0.066072,0.489056,0.199306,0.233127,0.695329,0.370737,0.710294,0.00018129,2.290374,0.906563,0.893799,0.908798,45.0488,"{""cora"": 2, ""citeseer"": 8, ""pubmed"": 17, ""ppi"": 19, ""facebook_ego"": 6, ""twitch_en"": 46, ""coauthor_cs"": 16, ""dblp_snap"": 66, ""power_grid"": 10, ""as733"": 10}"
73,14600,426.8,-1.047082,0.062750,0.489435,0.187066,0.232222,0.693904,0.370380,0.710737,0.00016934,2.043038,0.904788,0.893914,0.908143,40.1001,"{""cora"": 6, ""citeseer"": 6, ""pubmed"": 17, ""ppi"": 20, ""facebook_ego"": 6, ""twitch_en"": 54, ""coauthor_cs"": 13, ""dblp_snap"": 56, ""power_grid"": 6, ""as733"": 16}"
74,14800,432.1,-0.967682,0.068227,0.490023,0.194191,0.231639,0.693506,0.369602,0.711023,0.00015773,2.382763,0.905237,0.893486,0.913710,39.8112,"{""cora"": 5, ""citeseer"": 7, ""pubmed"": 16, ""ppi"": 23, ""facebook_ego"": 5, ""twitch_en"": 48, ""coauthor_cs"": 15, ""dblp_snap"": 62, ""power_grid"": 11, ""as733"": 8}"
75,15000,438.7,-0.877722,0.071265,0.493714,0.210514,0.232357,0.694120,0.370757,0.710857,0.00014645,2.233197,0.900750,0.890840,0.899028,49.4107,"{""cora"": 5, ""citeseer"": 7, ""pubmed"": 12, ""ppi"": 22, ""facebook_ego"": 9, ""twitch_en"": 57, ""coauthor_cs"": 17, ""dblp_snap"": 61, ""power_grid"": 3, ""as733"": 7}"
76,15200,444.3,-0.915062,0.073672,0.493129,0.194545,0.232336,0.694605,0.370313,0.711182,0.00013552,2.251524,0.901108,0.892525,0.912829,48.9538,"{""cora"": 5, ""citeseer"": 6, ""pubmed"": 9, ""ppi"": 29, ""facebook_ego"": 9, ""twitch_en"": 53, ""coauthor_cs"": 13, ""dblp_snap"": 58, ""power_grid"": 8, ""as733"": 10}"
77,15400,449.3,-1.001169,0.071225,0.482693,0.179970,0.232636,0.691874,0.369355,0.710788,0.00012494,2.128711,0.913657,0.898161,0.911664,46.7525,"{""cora"": 8, ""citeseer"": 9, ""pubmed"": 14, ""ppi"": 26, ""facebook_ego"": 8, ""twitch_en"": 35, ""coauthor_cs"": 18, ""dblp_snap"": 61, ""power_grid"": 9, ""as733"": 12}"
78,15600,455.1,-0.857949,0.068565,0.494157,0.222578,0.232345,0.693377,0.369923,0.711118,0.00011474,2.423954,0.900027,0.889879,0.912114,47.6821,"{""cora"": 5, ""citeseer"": 6, ""pubmed"": 16, ""ppi"": 18, ""facebook_ego"": 4, ""twitch_en"": 52, ""coauthor_cs"": 13, ""dblp_snap"": 76, ""power_grid"": 5, ""as733"": 5}"
79,15800,460.5,-0.977288,0.068816,0.488020,0.190737,0.231983,0.692374,0.368832,0.711010,0.00010492,2.345279,0.907169,0.895145,0.916708,45.9134,"{""cora"": 4, ""citeseer"": 10, ""pubmed"": 15, ""ppi"": 23, ""facebook_ego"": 12, ""twitch_en"": 42, ""coauthor_cs"": 12, ""dblp_snap"": 68, ""power_grid"": 10, ""as733"": 4}"
80,16000,465.8,-1.012780,0.066639,0.487253,0.186634,0.231749,0.692133,0.368638,0.711074,0.00009549,2.104140,0.907642,0.896452,0.905628,47.6864,"{""cora"": 8, ""citeseer"": 7, ""pubmed"": 10, ""ppi"": 23, ""facebook_ego"": 12, ""twitch_en"": 47, ""coauthor_cs"": 12, ""dblp_snap"": 60, ""power_grid"": 7, ""as733"": 14}"
81,16200,472.6,-1.042147,0.067995,0.483913,0.175893,0.231855,0.690333,0.367720,0.711228,0.00008646,2.038642,0.911368,0.895563,0.914598,49.5247,"{""cora"": 4, ""citeseer"": 6, ""pubmed"": 18, ""ppi"": 24, ""facebook_ego"": 10, ""twitch_en"": 44, ""coauthor_cs"": 25, ""dblp_snap"": 56, ""power_grid"": 5, ""as733"": 8}"
82,16400,479.0,-0.977530,0.071969,0.492541,0.180942,0.231941,0.691827,0.367552,0.711362,0.00007784,2.115016,0.902353,0.890595,0.915920,40.4069,"{""cora"": 6, ""citeseer"": 5, ""pubmed"": 14, ""ppi"": 29, ""facebook_ego"": 4, ""twitch_en"": 46, ""coauthor_cs"": 13, ""dblp_snap"": 67, ""power_grid"": 12, ""as733"": 4}"
